nodeTag,x,y,z
85,34.202014,-93.969262,300.0
86,30.912953,-84.93264,249.893453
87,36.840623,-79.00497,227.970505
88,42.40243,-73.443163,207.400666
89,35.152913,-75.385665,187.773154
90,28.123669,-77.269146,168.742014
91,28.123669,-77.269146,131.257986
92,29.00497,-79.690501,92.599334
93,30.912953,-84.93264,50.106547
94,34.202014,-93.969262,0.0
95,34.202014,-93.969262,0.0
96,82.862358,-7.249517,112.226846
97,86.840623,-7.59757,72.029495
98,98.480775,-17.364818,0.0
99,100.0,0.0,0.0
100,94.227597,8.243846,26.318755
101,89.0103,15.694918,50.106547
102,84.202014,22.561862,72.029495
103,79.690501,29.00497,92.599334
104,75.385665,35.152913,112.226846
105,71.21163,41.114054,131.257986
106,67.101007,46.984631,150.0
107,62.990385,52.855208,168.742014
108,58.816349,58.816349,187.773154
109,54.511513,64.964292,207.400666
110,50.0,71.4074,227.970505
111,45.191714,78.274345,249.893453
112,39.974418,85.725416,273.681245
113,34.202014,93.969262,300.0
114,34.202014,93.969262,300.0
115,75.385665,35.152913,187.773154
116,77.269146,28.123669,168.742014
117,73.443163,42.40243,207.400666
118,79.690501,29.00497,207.400666
119,80.344627,21.528278,187.773154
120,79.124012,21.201215,150.0
121,69.237723,58.097348,249.893453
122,71.4074,50.0,227.970505
123,66.883484,66.883484,273.681245
124,77.481569,54.253179,273.681245
125,78.274345,45.191714,249.893453
126,79.00497,36.840623,227.970505
127,84.202014,22.561862,227.970505
128,83.516484,14.726209,207.400666
129,80.978877,14.278761,168.742014
130,80.978877,14.278761,131.257986
131,80.978877,-14.278761,131.257986
132,79.124012,-21.201215,150.0
133,86.60254,-50.0,0.0
134,77.269146,-28.123669,168.742014
135,75.385665,-35.152913,187.773154
136,73.443163,-42.40243,207.400666
137,71.4074,-50.0,227.970505
138,69.237723,-58.097348,249.893453
139,66.883484,-66.883484,273.681245
140,24.481054,-91.364539,273.681245
141,22.561862,-84.202014,227.970505
142,15.694918,-89.0103,249.893453
143,7.59757,-86.840623,227.970505
144,14.726209,-83.516484,207.400666
145,7.249517,-82.862358,187.773154
146,14.278761,-80.978877,168.742014
147,21.528278,-80.344627,187.773154
148,21.201215,-79.124012,150.0
149,21.528278,-80.344627,112.226846
150,22.561862,-84.202014,72.029495
151,24.481054,-91.364539,26.318755
152,29.00497,-79.690501,207.400666
153,82.228107,0.0,131.257986
154,84.80486,0.0,92.599334
155,100.0,0.0,0.0
156,98.480775,17.364818,0.0
157,91.364539,24.481054,26.318755
158,84.93264,30.912953,50.106547
159,79.00497,36.840623,72.029495
160,73.443163,42.40243,92.599334
161,68.136148,47.709445,112.226846
162,62.990385,52.855208,131.257986
163,57.922797,57.922797,150.0
164,52.855208,62.990385,168.742014
165,47.709445,68.136148,187.773154
166,42.40243,73.443163,207.400666
167,36.840623,79.00497,227.970505
168,30.912953,84.93264,249.893453
169,24.481054,91.364539,273.681245
170,17.364818,98.480775,300.0
171,17.364818,98.480775,300.0
172,82.862358,7.249517,112.226846
173,64.278761,76.604444,300.0
174,76.604444,64.278761,300.0
175,86.60254,50.0,300.0
176,85.725416,39.974418,273.681245
177,84.93264,30.912953,249.893453
178,89.0103,15.694918,249.893453
